GEOID,ALAND,AWATER,NAME,State,County,B19049_001E,B19049_001M,B19049_002E,B19049_002M,B19049_003E,B19049_003M,B19049_004E,B19049_004M,B19049_005E,B19049_005M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19053_001E,B19053_001M,B19053_002E,B19053_002M,B19053_003E,B19053_003M,B19053_calc_pctSelfempE,B19053_calc_pctSelfempM,Shape__Area,Shape__Length,Update_Field
42003484300,2224257.0,180118.0,Census Tract 4843,Pennsylvania,Allegheny County,70313.0,27008.0,,,110290.0,45855.0,88281.0,55720.0,,,,,,,,,,,,,250001.0,,87611.0,28775.0,,,1463,153.0,58,51.0,1405,145.0,4.0,3.461244847325052,3840119.09765625,11968.810951700705,Yes
42003484500,2512322.0,0.0,Census Tract 4845,Pennsylvania,Allegheny County,53321.0,8836.0,33000.0,2412.0,69016.0,16921.0,62448.0,46019.0,48373.0,7880.0,,,,,,,,,,,,,53667.0,9468.0,,,2611,299.0,337,276.0,2274,314.0,12.9,10.466818691325793,4334464.03515625,10031.676249107362,Yes
42003484600,1202629.0,0.0,Census Tract 4846,Pennsylvania,Allegheny County,40455.0,10466.0,44457.0,2542.0,,,53750.0,25037.0,30931.0,15644.0,30714.0,30223.0,,,,,,,,,46818.0,6207.0,42589.0,8971.0,,,918,183.0,35,24.0,883,181.0,3.8,2.501464435347207,2075484.01953125,8364.230058262172,Yes
42003485000,767480.0,78326.0,Census Tract 4850,Pennsylvania,Allegheny County,62339.0,3122.0,,,62667.0,10598.0,64511.0,34765.0,44250.0,12878.0,62143.0,4629.0,,,,,,,,,,,63203.0,3632.0,,,536,105.0,35,19.0,501,105.0,6.5,3.30592885983826,1324830.25390625,6489.851131023576,Yes
42003486700,2492427.0,226049.0,Census Tract 4867,Pennsylvania,Allegheny County,39141.0,12262.0,,,28670.0,24454.0,55000.0,24744.0,41750.0,19263.0,40166.0,37666.0,,,,,,,,,,,43229.0,20948.0,,,915,158.0,25,40.0,890,150.0,2.7,4.346051155880086,4299739.06640625,8522.149462288191,Yes
42003486800,1282175.0,241110.0,Census Tract 4868,Pennsylvania,Allegheny County,44844.0,19762.0,,,66167.0,19715.0,33824.0,27157.0,32125.0,17189.0,42500.0,7546.0,,,,,,,,,,,71750.0,27558.0,,,559,89.0,33,36.0,526,93.0,5.9,6.371115679873819,2211225.21484375,9582.892236774562,Yes
42003486900,929134.0,40755.0,Census Tract 4869,Pennsylvania,Allegheny County,41799.0,9274.0,,,41705.0,38950.0,46087.0,15624.0,31389.0,5129.0,31759.0,11647.0,,,,,,,,,,,64000.0,27259.0,,,627,158.0,42,41.0,585,162.0,6.7,6.317449831970873,1602191.59765625,5933.358804730161,Yes
42003487000,2502861.0,245512.0,Census Tract 4870,Pennsylvania,Allegheny County,47016.0,9831.0,,,71136.0,32542.0,51328.0,12832.0,36336.0,10944.0,,,,,,,,,,,,,46912.0,11095.0,45804.0,11298.0,844,134.0,17,15.0,827,134.0,2.0,1.7482431955557654,4321835.94140625,9968.122923074094,Yes
42003488100,1707709.0,0.0,Census Tract 4881,Pennsylvania,Allegheny County,72692.0,24000.0,,,101900.0,25630.0,81607.0,63502.0,48833.0,17567.0,16765.0,5428.0,,,,,,,,,,,88571.0,25068.0,,,954,148.0,20,22.0,934,149.0,2.1,2.2830301665553088,2946674.3046875,8361.86793105418,Yes
42003488200,2936297.0,246438.0,Census Tract 4882,Pennsylvania,Allegheny County,60417.0,15391.0,,,,,69952.0,20318.0,48352.0,9981.0,,,,,,,,,,,,,69712.0,10400.0,,,1285,191.0,0,11.0,1285,191.0,0.0,0.8560311284046693,5067210.1484375,10994.486550095044,Yes
